workload,workload_path,query_count,ok,failed,n_queries_sql,n_queries_with_plans,table_coverage,column_coverage,join_edge_coverage,complexity_weighted_table_coverage,table_usage_entropy,column_usage_entropy,join_edge_usage_entropy,unique_table_set_count,unique_table_set_ratio,unique_plan_graph_count,plan_graph_uniqueness_ratio,n_operator_types_observed,operator_type_coverage,operator_type_entropy,unique_operator_instance_count,operator_instance_entropy,unique_operator_ngram_count,operator_ngram_entropy,mean_nearest_neighbour_distance,median_nearest_neighbour_distance,min_nearest_neighbour_distance,plan_graph_vendi_score,meta_num_queries,meta_num_tables_min,meta_num_tables_max,meta_num_tables_mean,meta_num_tables_median,meta_num_columns_min,meta_num_columns_max,meta_num_columns_mean,meta_num_columns_median,meta_num_joins_min,meta_num_joins_max,meta_num_joins_mean,meta_num_joins_median,meta_num_aggregations_min,meta_num_aggregations_max,meta_num_aggregations_mean,meta_num_aggregations_median,meta_num_group_by_min,meta_num_group_by_max,meta_num_group_by_mean,meta_num_group_by_median,meta_num_order_by_min,meta_num_order_by_max,meta_num_order_by_mean,meta_num_order_by_median,meta_num_having_min,meta_num_having_max,meta_num_having_mean,meta_num_having_median,meta_num_where_min,meta_num_where_max,meta_num_where_mean,meta_num_where_median,meta_num_predicates_min,meta_num_predicates_max,meta_num_predicates_mean,meta_num_predicates_median,meta_num_subqueries_min,meta_num_subqueries_max,meta_num_subqueries_mean,meta_num_subqueries_median,meta_num_ctes_min,meta_num_ctes_max,meta_num_ctes_mean,meta_num_ctes_median,meta_num_window_functions_min,meta_num_window_functions_max,meta_num_window_functions_mean,meta_num_window_functions_median,meta_num_set_operations_min,meta_num_set_operations_max,meta_num_set_operations_mean,meta_num_set_operations_median,meta_num_distinct_min,meta_num_distinct_max,meta_num_distinct_mean,meta_num_distinct_median,meta_num_case_when_min,meta_num_case_when_max,meta_num_case_when_mean,meta_num_case_when_median,meta_num_limit_min,meta_num_limit_max,meta_num_limit_mean,meta_num_limit_median,meta_num_functions_min,meta_num_functions_max,meta_num_functions_mean,meta_num_functions_median,meta_query_length_chars_min,meta_query_length_chars_max,meta_query_length_chars_mean,meta_query_length_chars_median,meta_query_length_tokens_min,meta_query_length_tokens_max,meta_query_length_tokens_mean,meta_query_length_tokens_median,meta_complexity_low_pct,meta_complexity_medium_pct,meta_complexity_high_pct,meta_table_usage_entropy,meta_unique_table_sets,meta_unique_table_set_ratio,meta_unique_skeletons,meta_unique_skeleton_ratio,meta_schema_table_coverage_pct,meta_feature_extractor,meta_source,gen_generator,gen_model,gen_reasoning,gen_temperature,gen_num_queries,gen_duration_s,gen_created_at_utc,gen_completed_at_utc,gen_generation_workers,gen_queries_per_min,gen_seconds_per_query,gen_candidates_generated,gen_valid_written,gen_invalid_rejected,gen_batches_run,gen_rejection_rate,gen_candidates_per_query,gen_input_tokens,gen_output_tokens,gen_reasoning_tokens,gen_total_tokens,gen_llm_calls,gen_calls_without_usage,gen_tokens_per_query
gpt_generated_1000_tpcds_tokens,/mnt/primary/Main/Workloads/gpt_generated_1000_tpcds_tokens,1000,1000,0,1000,1000,1.0,0.9788235294117648,1.0,1.0,0.9916582106732681,0.8874526556336141,0.9228251380152196,932,0.932,1000,1.0,37,,0.6576925572968619,36910,0.8068735083990439,962,0.6261450909109056,0.37410429664063954,0.3759131872233776,0.07999999999999996,106.05991451323172,1000,1,25,10.402,10.0,0,69,27.85,26.0,0,39,8.565,7.0,0,20,5.063,5.0,0,6,1.324,1.0,0,9,1.493,1.0,0,4,0.178,0.0,0,11,3.633,3.0,2,55,17.301,16.0,0,9,1.369,1.0,0,15,3.382,3.0,0,8,0.578,0.0,0,5,1.04,1.0,0,7,0.76,0.0,0,5,0.674,0.0,0,4,0.872,1.0,0,45,13.967,13.0,145,6950,2318.614,2205.0,14,650,235.543,228.0,5.1,37.1,57.8,6.9742,994,0.994,776,0.776,100.0,sqlglot,computed,query_generator_v8,gpt-oss-120b,high,0.6,1000,7841.855685,2026-08-06T10:44:25.508739+00:00,2026-08-06T12:55:07.364424+00:00,64.0,7.6513,7.8419,2602.0,1000.0,1332.0,,0.5119,2.602,6067907,8807906,6068370,14875813,2587,0,14875.81
sqlstorm_1000_tokens_tpcds,/mnt/primary/Main/Workloads/sqlstorm_1000_tokens_tpcds,1000,1000,0,1000,1000,1.0,0.7435294117647059,0.7682926829268293,1.0,0.8149077907158527,0.8047546313611267,0.7576166604289931,397,0.397,790,0.79,35,,0.6924610399718382,28604,0.8140769866561686,807,0.7228103828236492,0.2704486245662579,0.28945878623188404,0.0,77.638293442976,1000,1,23,9.565,9.0,0,98,34.332,33.0,0,29,6.125,5.0,0,50,8.199,6.0,0,10,2.038,1.0,0,11,2.032,2.0,0,2,0.086,0.0,0,15,2.394,1.0,0,68,12.09,9.0,0,16,0.757,0.0,0,15,3.308,3.0,0,11,1.151,1.0,0,9,1.656,2.0,0,9,0.696,0.0,0,18,1.14,0.0,0,3,0.537,1.0,1,113,21.95,15.0,34,9407,2642.877,2387.5,4,1017,292.084,263.0,22.8,41.1,36.1,6.1222,717,0.717,539,0.539,100.0,sqlglot,generation_report,sqlstorm,gpt-oss-120b,high,0.6,1000,53995.077255,2026-08-06T12:55:07.534510+00:00,2026-08-07T03:55:02.611765+00:00,,1.1112,53.9951,,,,,,,8339803,17988856,14466124,26328659,3683,0,26328.66
sqlbarber_1000_tokens_tpcds,/mnt/primary/Main/Workloads/sqlbarber_1000_tokens_tpcds,1000,1000,0,1000,1000,1.0,0.5929411764705882,0.9634146341463414,1.0,0.9551773783763404,0.9212407920688308,0.9563731684514467,122,0.122,108,0.108,26,,0.7252926045712851,1557,0.8844027521872379,119,0.7620473046996223,0.001585044244044226,0.0,0.0,16.375850039265387,1000,2,5,2.759,3.0,3,17,9.136,9.0,1,3,1.753,2.0,0,5,1.489,2.0,0,2,0.771,1.0,0,1,0.12,0.0,0,1,0.269,0.0,0,3,1.174,1.0,1,10,4.579,4.0,0,2,0.245,0.0,0,1,0.006,0.0,0,1,0.012,0.0,0,0,0.0,0.0,0,2,0.125,0.0,0,3,0.51,0.0,0,1,0.108,0.0,1,10,3.754,3.0,167,1129,483.978,467.0,20,104,55.26,56.0,77.3,22.7,0.0,4.3877,125,0.125,10,0.01,100.0,sqlglot,generation_report,sqlbarber,gpt-oss-120b,high,0.6,1000,11629.883347,2026-08-07T03:55:28.752669+00:00,2026-08-07T07:09:18.636016+00:00,,5.1591,11.6299,,,,,,,283378,788302,704099,1071680,453,0,1071.68
sql_factory_1000_tokens_tpcds,/mnt/primary/Main/Workloads/sql_factory_1000_tokens_tpcds,1000,1000,0,1000,1000,1.0,0.8047058823529412,0.9878048780487805,1.0,0.9721199185345227,0.9110953424022985,0.9464566763719118,382,0.382,965,0.965,30,,0.7364965087020444,13539,0.8293718556218046,484,0.722996358889391,0.21926383882560593,0.21846590909090907,0.0,52.443310313509905,1000,2,13,5.567,5.0,6,35,18.059,18.0,0,9,3.098,3.0,0,29,6.373,6.0,0,5,1.456,1.0,1,14,2.765,2.0,0,2,0.138,0.0,0,6,1.026,1.0,1,19,6.646,6.0,0,2,0.133,0.0,0,9,1.953,2.0,0,13,1.937,2.0,0,2,0.105,0.0,0,4,0.367,0.0,0,8,1.21,1.0,0,2,0.539,1.0,2,46,12.435,11.0,457,3501,1353.422,1248.0,61,376,155.706,144.0,0.7,99.1,0.2,6.9312,770,0.77,201,0.201,100.0,sqlglot,generation_report,sql_factory,gpt-oss-120b,high,0.6,1000,19919.737569,2026-08-07T18:45:29.584840+00:00,2026-08-08T00:17:29.322409+00:00,,3.0121,19.9197,,,,,,,341464,2856276,2331391,3197740,336,0,3197.74
e2etune_1000_tokens_tpcds,/mnt/primary/Main/Workloads/e2etune_1000_tokens_tpcds,1000,1000,0,1000,1000,1.0,0.9035294117647059,1.0,1.0,0.9904355443124093,0.9097485091475553,0.8912291193918572,882,0.882,976,0.976,30,,0.723447973349437,16172,0.8357955263335176,490,0.6895869291113121,0.24460261561685034,0.2518782347376036,0.0,55.31604290088823,1000,1,14,5.344,5.0,4,42,20.139,20.0,0,16,3.562,3.0,2,23,7.25,7.0,1,7,1.531,1.0,1,6,1.81,2.0,0,2,0.599,1.0,0,6,1.865,2.0,2,28,8.857,8.0,0,5,0.184,0.0,0,7,1.488,1.0,0,5,0.824,1.0,0,3,0.07,0.0,0,5,0.717,0.0,0,4,0.255,0.0,0,2,0.904,1.0,4,63,12.718,11.0,525,4753,1362.686,1256.5,57,476,147.341,133.0,8.1,88.5,3.4,6.2203,986,0.986,171,0.171,100.0,sqlglot,generation_report,e2etune,gpt-oss-120b,high,0.6,1000,14372.533305,2026-08-07T07:09:29.005133+00:00,2026-08-07T11:09:01.538438+00:00,,4.1746,14.3725,,,,,,,1853180,6132029,5457984,7985209,1400,0,7985.21
bootstrapping_lcm_1000_tokens_tpcds,/mnt/primary/Main/Workloads/bootstrapping_lcm_1000_tokens_tpcds,1000,1000,0,1000,1000,1.0,0.8,1.0,1.0,0.8241888764938943,0.8353709762922769,0.7259669674912407,394,0.394,916,0.916,28,,0.6759852990199068,16652,0.8018101002733188,265,0.585149973746786,0.13772304730071483,0.11042736333434006,0.0,18.981622757771444,1000,3,11,5.336,5.0,0,49,24.247,23.0,1,13,6.259,6.0,0,39,8.432,8.0,0,6,1.118,1.0,0,4,1.289,1.0,0,1,0.388,0.0,0,5,0.819,1.0,4,22,9.466,9.0,0,2,0.046,0.0,0,6,0.475,0.0,0,4,0.332,0.0,0,0,0.0,0.0,0,7,1.237,1.0,0,9,0.965,0.0,0,1,0.91,1.0,0,59,13.147,12.0,782,4685,1603.436,1553.5,85,448,172.595,169.0,1.2,87.8,11.0,4.447,623,0.623,105,0.105,100.0,sqlglot,generation_report,bootstrapping_lcm,gpt-oss-120b,high,0.6,1000,27357.101073,2026-08-07T11:09:19.214757+00:00,2026-08-07T18:45:16.315830+00:00,,2.1932,27.3571,,,,,,,1961678,10772572,10081919,12734250,1500,0,12734.25
