workload,workload_path,query_count,ok,failed,n_queries_sql,n_queries_with_plans,table_coverage,column_coverage,join_edge_coverage,complexity_weighted_table_coverage,table_usage_entropy,column_usage_entropy,join_edge_usage_entropy,unique_table_set_count,unique_table_set_ratio,unique_plan_graph_count,plan_graph_uniqueness_ratio,n_operator_types_observed,operator_type_coverage,operator_type_entropy,unique_operator_instance_count,operator_instance_entropy,unique_operator_ngram_count,operator_ngram_entropy,mean_nearest_neighbour_distance,median_nearest_neighbour_distance,min_nearest_neighbour_distance,plan_graph_vendi_score,meta_num_queries,meta_num_tables_min,meta_num_tables_max,meta_num_tables_mean,meta_num_tables_median,meta_num_columns_min,meta_num_columns_max,meta_num_columns_mean,meta_num_columns_median,meta_num_joins_min,meta_num_joins_max,meta_num_joins_mean,meta_num_joins_median,meta_num_aggregations_min,meta_num_aggregations_max,meta_num_aggregations_mean,meta_num_aggregations_median,meta_num_group_by_min,meta_num_group_by_max,meta_num_group_by_mean,meta_num_group_by_median,meta_num_order_by_min,meta_num_order_by_max,meta_num_order_by_mean,meta_num_order_by_median,meta_num_having_min,meta_num_having_max,meta_num_having_mean,meta_num_having_median,meta_num_where_min,meta_num_where_max,meta_num_where_mean,meta_num_where_median,meta_num_predicates_min,meta_num_predicates_max,meta_num_predicates_mean,meta_num_predicates_median,meta_num_subqueries_min,meta_num_subqueries_max,meta_num_subqueries_mean,meta_num_subqueries_median,meta_num_ctes_min,meta_num_ctes_max,meta_num_ctes_mean,meta_num_ctes_median,meta_num_window_functions_min,meta_num_window_functions_max,meta_num_window_functions_mean,meta_num_window_functions_median,meta_num_set_operations_min,meta_num_set_operations_max,meta_num_set_operations_mean,meta_num_set_operations_median,meta_num_distinct_min,meta_num_distinct_max,meta_num_distinct_mean,meta_num_distinct_median,meta_num_case_when_min,meta_num_case_when_max,meta_num_case_when_mean,meta_num_case_when_median,meta_num_limit_min,meta_num_limit_max,meta_num_limit_mean,meta_num_limit_median,meta_num_functions_min,meta_num_functions_max,meta_num_functions_mean,meta_num_functions_median,meta_query_length_chars_min,meta_query_length_chars_max,meta_query_length_chars_mean,meta_query_length_chars_median,meta_query_length_tokens_min,meta_query_length_tokens_max,meta_query_length_tokens_mean,meta_query_length_tokens_median,meta_complexity_low_pct,meta_complexity_medium_pct,meta_complexity_high_pct,meta_table_usage_entropy,meta_unique_table_sets,meta_unique_table_set_ratio,meta_unique_skeletons,meta_unique_skeleton_ratio,meta_schema_table_coverage_pct,meta_feature_extractor,meta_source
tpcds,/mnt/primary/Main/Workloads/tpcds,99,99,0,99,99,1.0,0.5811764705882353,0.6829268292682927,1.0,0.8446690332801396,0.8809455706637999,0.8237121895664302,65,0.6565656565656566,84,0.8484848484848485,29,,0.6802918758501381,2739,0.8876318644104061,222,0.7255722655418109,0.24333207049236855,0.22837370242214527,0.0,22.26081875359077,99,1,15,5.576,5.0,4,65,19.758,17.0,0,31,5.525,4.0,0,84,5.202,3.0,0,6,1.354,1.0,0,7,1.081,1.0,0,3,0.111,0.0,1,16,2.859,2.0,4,96,15.677,12.0,0,15,1.535,1.0,0,6,0.636,0.0,0,6,0.273,0.0,0,6,0.424,0.0,0,6,0.232,0.0,0,48,1.303,0.0,0,1,0.848,1.0,4,194,21.081,16.0,312,8860,1457.202,1137.0,34,819,137.404,103.0,13.13,73.74,13.13,4.4991,73,0.7374,57,0.5758,100.0,sqlglot,computed
bootstrapping_lcm_1000_tpcds,/mnt/primary/Main/Workloads/bootstrapping_lcm_1000_tpcds,1000,1000,0,1000,1000,0.9583333333333334,0.8023529411764706,0.9878048780487805,0.977288783849886,0.8369293728198598,0.8282541963464203,0.7412662883797152,398,0.398,935,0.935,29,,0.6683189221318285,16273,0.796250460777993,286,0.5802302210737926,0.1375246446524183,0.11452058232931728,0.0,18.857667671045945,1000,2,12,5.357,5.0,0,51,24.425,23.0,1,20,6.256,6.0,0,29,8.331,8.0,0,7,1.085,1.0,0,4,1.334,1.0,0,1,0.409,0.0,0,7,0.855,1.0,4,25,9.819,9.0,0,6,0.053,0.0,0,7,0.478,0.0,0,3,0.386,0.0,0,1,0.001,0.0,0,5,1.2,1.0,0,8,0.997,1.0,0,1,0.919,1.0,0,44,13.102,12.0,665,3884,1601.301,1524.0,80,382,172.832,169.0,1.4,88.4,10.2,4.4383,634,0.634,111,0.111,95.83,sqlglot,generation_report
e2etune_1000_tpcds,/mnt/primary/Main/Workloads/e2etune_1000_tpcds,1000,1000,0,1000,1000,1.0,0.8894117647058823,1.0,1.0,0.9910563354906486,0.9114571687061834,0.889082621180598,877,0.877,984,0.984,31,,0.7170727192908771,16058,0.8360392884100853,501,0.6878449392906252,0.2505960024194278,0.2542372881355932,0.0,55.55728167904426,1000,2,15,5.387,5.0,6,51,20.298,20.0,0,17,3.523,3.0,2,25,7.279,7.0,1,6,1.48,1.0,1,6,1.853,2.0,0,3,0.59,1.0,0,8,1.889,2.0,3,30,8.898,8.0,0,5,0.173,0.0,0,9,1.512,1.0,0,5,0.875,1.0,0,3,0.08,0.0,0,4,0.676,0.0,0,11,0.3,0.0,0,2,0.894,1.0,4,51,12.779,11.0,540,4324,1379.271,1244.0,66,464,149.069,132.5,7.4,88.7,3.9,6.2182,980,0.98,176,0.176,100.0,sqlglot,generation_report
gpt_generated_tpcds,/mnt/primary/Main/Workloads/gpt_generated_tpcds,1000,1000,0,1000,1000,1.0,0.6941176470588235,1.0,1.0,0.8961115632463629,0.8476735000096202,0.8721630742263945,613,0.613,921,0.921,27,,0.7094976943755402,20112,0.8043676642684684,297,0.6667959239405282,0.1860536478590144,0.1869158878504673,0.0,52.03766398464795,1000,2,20,7.738,7.0,0,54,23.215,22.0,1,30,6.696,6.0,1,26,6.321,6.0,1,9,2.248,2.0,1,5,1.189,1.0,0,1,0.02,0.0,0,7,1.379,1.0,1,39,10.159,9.0,0,4,0.105,0.0,0,11,2.546,2.0,0,4,0.213,0.0,0,6,0.732,0.0,0,6,0.393,0.0,0,7,0.272,0.0,0,1,0.488,0.0,1,70,14.107,12.0,451,6396,1910.569,1750.0,59,646,204.359,189.5,9.1,62.6,28.3,5.8204,861,0.861,253,0.253,100.0,sqlglot,computed
sqlbarber_1000_tpcds,/mnt/primary/Main/Workloads/sqlbarber_1000_tpcds,1000,1000,0,1000,1000,1.0,0.5529411764705883,0.9390243902439024,1.0,0.9585536854519802,0.9289495530658161,0.9594819724190891,124,0.124,119,0.119,26,,0.7331198954039253,1568,0.881853888740741,129,0.7822866437694135,0.0010921052631578947,0.0,0.0,19.503051280671162,1000,2,4,2.753,3.0,3,20,8.88,9.0,1,5,1.765,2.0,0,4,1.483,2.0,0,2,0.778,1.0,0,2,0.162,0.0,0,1,0.281,0.0,0,3,1.161,1.0,1,10,4.555,4.0,0,2,0.257,0.0,0,0,0.0,0.0,0,1,0.006,0.0,0,0,0.0,0.0,0,1,0.161,0.0,0,4,0.522,0.0,0,2,0.144,0.0,1,11,3.647,3.0,156,1078,476.214,450.0,20,107,55.092,56.0,75.5,24.5,0.0,4.3842,125,0.125,9,0.009,100.0,sqlglot,generation_report
sqlstorm_1000_tpcds,/mnt/primary/Main/Workloads/sqlstorm_1000_tpcds,1000,1000,0,1000,1000,1.0,0.731764705882353,0.8414634146341463,1.0,0.8217311797303992,0.8087747489050865,0.7453767187168268,418,0.418,791,0.791,32,,0.7085458464544016,28119,0.8108777918219515,809,0.7201388815040694,0.27037894913169686,0.2913979345546631,0.0,79.4900121770283,1000,1,25,9.656,9.0,0,117,34.487,35.0,0,25,6.283,5.0,0,40,8.023,6.0,0,9,2.058,1.0,0,9,1.936,2.0,0,2,0.102,0.0,0,14,2.345,1.0,0,51,11.932,9.0,0,11,0.809,0.0,0,15,3.284,2.0,0,15,1.076,1.0,0,8,1.729,2.0,0,11,0.72,0.0,0,14,1.045,0.0,0,3,0.56,1.0,1,109,21.925,16.0,34,10326,2663.057,2490.0,4,1058,295.233,277.0,22.0,36.7,41.3,6.1423,727,0.727,553,0.553,100.0,sqlglot,generation_report
