workload,workload_path,query_count,ok,failed,n_queries_sql,n_queries_with_plans,table_coverage,column_coverage,join_edge_coverage,complexity_weighted_table_coverage,table_usage_entropy,column_usage_entropy,join_edge_usage_entropy,unique_table_set_count,unique_table_set_ratio,unique_plan_graph_count,plan_graph_uniqueness_ratio,n_operator_types_observed,operator_type_coverage,operator_type_entropy,unique_operator_instance_count,operator_instance_entropy,unique_operator_ngram_count,operator_ngram_entropy,mean_nearest_neighbour_distance,median_nearest_neighbour_distance,min_nearest_neighbour_distance,plan_graph_vendi_score,meta_num_queries,meta_num_tables_min,meta_num_tables_max,meta_num_tables_mean,meta_num_tables_median,meta_num_columns_min,meta_num_columns_max,meta_num_columns_mean,meta_num_columns_median,meta_num_joins_min,meta_num_joins_max,meta_num_joins_mean,meta_num_joins_median,meta_num_aggregations_min,meta_num_aggregations_max,meta_num_aggregations_mean,meta_num_aggregations_median,meta_num_group_by_min,meta_num_group_by_max,meta_num_group_by_mean,meta_num_group_by_median,meta_num_order_by_min,meta_num_order_by_max,meta_num_order_by_mean,meta_num_order_by_median,meta_num_having_min,meta_num_having_max,meta_num_having_mean,meta_num_having_median,meta_num_where_min,meta_num_where_max,meta_num_where_mean,meta_num_where_median,meta_num_predicates_min,meta_num_predicates_max,meta_num_predicates_mean,meta_num_predicates_median,meta_num_subqueries_min,meta_num_subqueries_max,meta_num_subqueries_mean,meta_num_subqueries_median,meta_num_ctes_min,meta_num_ctes_max,meta_num_ctes_mean,meta_num_ctes_median,meta_num_window_functions_min,meta_num_window_functions_max,meta_num_window_functions_mean,meta_num_window_functions_median,meta_num_set_operations_min,meta_num_set_operations_max,meta_num_set_operations_mean,meta_num_set_operations_median,meta_num_distinct_min,meta_num_distinct_max,meta_num_distinct_mean,meta_num_distinct_median,meta_num_case_when_min,meta_num_case_when_max,meta_num_case_when_mean,meta_num_case_when_median,meta_num_limit_min,meta_num_limit_max,meta_num_limit_mean,meta_num_limit_median,meta_num_functions_min,meta_num_functions_max,meta_num_functions_mean,meta_num_functions_median,meta_query_length_chars_min,meta_query_length_chars_max,meta_query_length_chars_mean,meta_query_length_chars_median,meta_query_length_tokens_min,meta_query_length_tokens_max,meta_query_length_tokens_mean,meta_query_length_tokens_median,meta_complexity_low_pct,meta_complexity_medium_pct,meta_complexity_high_pct,meta_table_usage_entropy,meta_unique_table_sets,meta_unique_table_set_ratio,meta_unique_skeletons,meta_unique_skeleton_ratio,meta_schema_table_coverage_pct,meta_feature_extractor,meta_source
tpcds,/mnt/primary/Main/Workloads/tpcds,99,99,0,99,99,1.0,0.5811764705882353,0.6829268292682927,1.0,0.8446690332801398,0.8809455706638001,0.8237121895664302,65,0.6565656565656566,84,0.8484848484848485,29,,0.6802918758501381,2739,0.8876318644104061,222,0.7255722655418109,0.24333207049236855,0.22837370242214527,0.0,22.26081875359077,99,1,15,5.576,5.0,4,65,19.758,17.0,0,31,5.525,4.0,0,84,5.202,3.0,0,6,1.354,1.0,0,7,1.081,1.0,0,3,0.111,0.0,1,16,2.859,2.0,4,96,15.677,12.0,0,15,1.535,1.0,0,6,0.636,0.0,0,6,0.273,0.0,0,6,0.424,0.0,0,6,0.232,0.0,0,48,1.303,0.0,0,1,0.848,1.0,4,194,21.081,16.0,312,8860,1457.202,1137.0,34,819,137.404,103.0,13.13,73.74,13.13,4.4991,73,0.7374,57,0.5758,100.0,sqlglot,computed
bootstrapping_lcm_tpcds,/mnt/primary/Main/Workloads/bootstrapping_lcm_tpcds,100,100,0,100,100,1.0,0.5929411764705882,0.6829268292682927,1.0,0.8280589535668638,0.8680626913707743,0.7953805391324767,78,0.78,95,0.95,23,,0.7166190416028235,2190,0.8898456009730215,128,0.697381824944969,0.2056560487955187,0.19403527914166213,0.0,11.642846546969253,100,5,11,5.4,5.0,16,40,24.11,23.0,4,12,6.07,6.0,0,20,8.86,8.0,0,6,1.18,1.0,0,3,1.24,1.0,0,1,0.48,0.0,0,2,0.8,1.0,6,17,9.8,9.0,0,6,0.13,0.0,0,6,0.4,0.0,0,3,0.31,0.0,0,0,0.0,0.0,0,6,1.18,1.0,0,7,1.22,1.0,0,1,0.96,1.0,0,40,14.21,14.0,811,3995,1584.86,1444.0,93,329,172.43,161.5,0.0,93.0,7.0,4.2624,85,0.85,35,0.35,100.0,sqlglot,generation_report
e2etune_tpcds,/mnt/primary/Main/Workloads/e2etune_tpcds,100,100,0,100,100,1.0,0.6847058823529412,0.9512195121951219,1.0,0.9811052493026095,0.9340125850397922,0.9588733031360024,99,0.99,100,1.0,26,,0.7559211245582511,1998,0.9099947389572308,203,0.7716440238849356,0.3580577638056528,0.3520833333333333,0.16049382716049387,26.170086101864797,100,2,14,5.45,5.0,9,48,20.72,20.0,1,12,3.52,3.0,3,19,7.22,7.0,1,4,1.44,1.0,1,6,1.87,2.0,0,1,0.55,1.0,1,5,1.87,2.0,3,24,9.04,8.0,0,3,0.23,0.0,0,6,1.49,1.0,0,5,0.92,1.0,0,2,0.08,0.0,0,4,0.65,0.0,0,5,0.42,0.0,0,1,0.82,1.0,5,38,13.13,12.0,608,2959,1408.05,1219.0,72,365,151.32,129.5,6.0,90.0,4.0,5.7962,100,1.0,53,0.53,100.0,sqlglot,generation_report
gpt_generated_100_tpcds_v2,/mnt/primary/Main/Workloads/gpt_generated_100_tpcds_v2,100,100,0,100,100,1.0,0.5341176470588235,0.8048780487804879,1.0,0.9382074816954393,0.9210553451974239,0.9438903821316,90,0.9,88,0.88,25,,0.7521321034857672,1534,0.9086323396363525,137,0.7511835373901231,0.25082598592042393,0.2597402597402597,0.0,21.64871431982761,100,2,11,4.39,4.0,5,29,12.63,12.0,0,11,2.66,2.0,0,10,3.34,3.0,0,4,1.34,1.0,0,7,1.32,1.0,0,1,0.16,0.0,0,4,1.41,1.0,2,24,5.8,5.0,0,2,0.1,0.0,0,5,1.09,1.0,0,6,0.49,0.0,0,2,0.19,0.0,0,2,0.11,0.0,0,3,0.21,0.0,0,1,0.36,0.0,1,37,7.39,6.0,164,4071,928.1,801.0,23,482,103.25,85.0,45.0,53.0,2.0,5.6196,96,0.96,46,0.46,100.0,sqlglot,computed
sql_factory_tpcds,/mnt/primary/Main/Workloads/sql_factory_tpcds,100,100,0,100,100,0.9583333333333334,0.4117647058823529,0.32926829268292684,0.977288783849886,0.9281637767294074,0.9331177792359187,0.9179226597331499,38,0.38,99,0.99,26,,0.7665673037336029,1347,0.8972019772843416,192,0.8108526702775489,0.3028455203861572,0.31657910689028085,0.0,24.086280882151463,100,2,8,4.64,5.0,7,26,13.23,12.5,0,5,2.36,2.0,1,16,5.79,5.0,0,4,1.37,1.0,0,9,2.35,2.0,0,1,0.19,0.0,0,3,0.76,1.0,1,14,5.21,5.0,0,2,0.14,0.0,0,4,1.51,1.0,0,8,1.42,1.0,0,2,0.03,0.0,0,1,0.16,0.0,0,4,1.19,1.0,0,1,0.6,1.0,2,27,11.5,10.0,495,1846,1003.22,933.5,67,213,122.02,116.0,4.0,96.0,0.0,5.6874,69,0.69,39,0.39,95.83,sqlglot,generation_report
sqlbarber_tpcds,/mnt/primary/Main/Workloads/sqlbarber_tpcds,100,100,0,100,100,0.7083333333333334,0.2023529411764706,0.2682926829268293,0.7495777857426621,0.9561073167561617,0.9657592200291188,0.9795469989303504,17,0.17,18,0.18,23,,0.7443447500453243,199,0.9617576841370555,45,0.8429141575927309,0.0,0.0,0.0,8.768520237607921,100,2,4,2.72,2.0,3,15,8.49,9.0,1,3,1.72,1.0,0,3,1.37,1.0,0,1,0.77,1.0,0,1,0.12,0.0,0,1,0.24,0.0,1,2,1.18,1.0,2,7,4.48,4.0,0,1,0.24,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.12,0.0,0,4,0.58,0.0,0,1,0.06,0.0,1,8,3.59,4.0,158,826,455.04,441.5,24,77,51.74,55.0,76.0,24.0,0.0,3.9139,17,0.17,4,0.04,70.83,sqlglot,generation_report
sqlstorm_tpcds,/mnt/primary/Main/Workloads/sqlstorm_tpcds,100,100,0,100,100,0.9166666666666666,0.46352941176470586,0.5975609756097561,0.9402262688016645,0.839041880436781,0.8625367679263999,0.8368528371624342,71,0.71,88,0.88,29,,0.7268844832714837,4047,0.8948103591478791,323,0.8125911051242858,0.37228565995544344,0.4388755832679523,0.0,30.655629011134018,100,2,25,9.69,10.0,4,85,33.43,32.0,1,19,6.34,6.0,1,34,8.25,5.5,0,8,2.16,1.0,1,8,1.95,2.0,0,2,0.11,0.0,0,11,2.67,1.0,1,45,13.23,10.5,0,7,0.76,0.0,0,12,3.48,3.0,0,6,1.07,1.0,0,6,1.71,2.0,0,6,0.74,0.0,0,23,1.31,0.0,0,1,0.58,1.0,1,119,22.55,15.5,162,7665,2702.53,2217.0,26,861,299.23,260.0,26.0,35.0,39.0,5.7271,86,0.86,76,0.76,91.67,sqlglot,generation_report
